Team,Year,Week,Opponent,TotalDVOA,OffenseDVOA,OffPassDVOA,OffRushDVOA,DefenseDVOA,DefPassDVOA,DefRushDVOA,STDVOA
TEN,2015,9,NO,0.04,0.083,0.556,-0.591,0.045,0.357,-0.32,0.002
WAS,2015,9,NE,-0.348,-0.35,-0.226,-0.505,0.033,0.124,-0.045,0.036
ARI,2015,10,SEA,0.245,0.116,0.36,-0.073,-0.023,-0.272,0.326,0.107
BAL,2015,10,JAC,0.246,0.029,0.024,0.035,-0.187,-0.238,-0.095,0.031
BUF,2015,10,NYJ,0.361,0.067,0.053,0.125,-0.207,-0.324,-0.065,0.086
CAR,2015,10,TEN,0.294,0.171,0.294,0.089,0.061,0.21,-0.101,0.184
CHI,2015,10,LARM,0.323,0.212,0.531,0.007,-0.207,-0.278,-0.108,-0.096
CIN,2015,10,HOU,0.108,-0.082,0.117,-0.093,-0.179,-0.013,-0.414,0.012
CLE,2015,10,PIT,-0.351,-0.189,0.029,-0.655,0.219,0.528,-0.497,0.058
DAL,2015,10,TB,-0.129,-0.32,-0.002,-0.612,-0.161,-0.167,-0.153,0.03
DEN,2015,10,KC,-0.295,-0.53,-0.75,-0.016,-0.203,-0.136,-0.26,0.033
DET,2015,10,GB,0.189,-0.096,0.311,-0.639,0,0.111,-0.35,0.285
GB,2015,10,DET,-0.005,0.065,0.207,-0.255,-0.148,0.135,-0.533,-0.219
HOU,2015,10,CIN,0.411,-0.053,0.094,-0.255,-0.404,-0.523,-0.2,0.06
JAC,2015,10,BAL,-0.525,-0.337,-0.407,-0.069,0.128,0.188,0.024,-0.06
KC,2015,10,DEN,0.314,0.017,0.182,0.03,-0.365,-0.547,0.072,-0.068
MIA,2015,10,PHI,-0.267,-0.22,-0.096,-0.247,-0.036,0.229,-0.331,-0.083
MIN,2015,10,OAK,0.308,0.195,-0.106,0.464,-0.021,-0.037,0.008,0.092
NE,2015,10,NYG,-0.057,-0.136,-0.15,-0.112,0.083,0.191,-0.158,0.161
NO,2015,10,WAS,-0.754,-0.272,-0.045,-0.412,0.522,0.711,0.339,0.04
NYG,2015,10,NE,0.279,0.131,0.336,-0.085,-0.194,-0.204,-0.178,-0.046
NYJ,2015,10,BUF,-0.123,-0.298,-0.261,-0.183,-0.261,-0.184,-0.323,-0.086
OAK,2015,10,MIN,-0.307,0.066,0.176,-0.016,0.125,-0.097,0.281,-0.248
PHI,2015,10,MIA,-0.249,-0.249,-0.133,-0.311,-0.14,-0.101,-0.204,-0.14
PIT,2015,10,CLE,0.259,0.173,0.571,-0.484,-0.115,0.09,-0.702,-0.029
SEA,2015,10,ARI,0.679,0.455,0.373,0.808,-0.237,-0.236,-0.239,-0.013
