year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal
2016,1,WAS,PIT,16,38,-22,0,0,3,-3,50,54
2016,1,KC,SD,33,27,6,1,0,-7,7,44.5,60
2016,1,ATL,TB,24,31,-7,0,0,-3,3,47.5,55
2016,2,OAK,ATL,28,35,-7,0,0,-5.5,5.5,48,63
2016,2,CLE,BAL,20,25,-5,0,0,4.5,-4.5,43.5,45
2016,2,PIT,CIN,24,16,8,1,1,-3,3,48.5,40
2016,2,WAS,DAL,23,27,-4,0,0,-2.5,2.5,46.5,50
2016,2,MIN,GB,17,14,3,1,1,2,-2,44.5,31
2016,2,DEN,IND,34,20,14,1,1,-4.5,4.5,45,54
2016,2,SD,JAC,38,14,24,1,1,-2.5,2.5,47.5,52
2016,2,HOU,KC,19,12,7,1,1,-2,2,43.5,31
2016,2,NE,MIA,31,24,7,1,1,-5.5,5.5,42.5,55
2016,2,NYG,NO,16,13,3,1,0,-5,5,51.5,29
2016,2,BUF,NYJ,31,37,-6,0,0,-3,3,42.5,68
2016,2,CHI,PHI,14,29,-15,0,0,-2.5,2.5,42.5,43
2016,2,LARM,SEA,9,3,6,1,1,7,-7,38.5,12
2016,2,CAR,SF,46,27,19,1,1,-13,13,44.5,73
2016,2,ARI,TB,40,7,33,1,1,-7,7,50,47
2016,2,DET,TEN,15,16,-1,0,0,-5.5,5.5,46.5,31
2016,3,BUF,ARI,33,18,15,1,1,4,-4,47,51
2016,3,NO,ATL,32,45,-13,0,0,-3,3,53.5,77
2016,3,JAC,BAL,17,19,-2,0,0,0,0,47.5,36
2016,3,DAL,CHI,31,17,14,1,1,-5.5,5.5,45,48
2016,3,MIA,CLE,30,24,6,1,0,-7,7,41.5,54
2016,3,CIN,DEN,17,29,-12,0,0,-3.5,3.5,41,46
2016,3,GB,DET,34,27,7,1,0,-8.5,8.5,48,61
2016,3,NE,HOU,27,0,27,1,1,0,0,40.5,27
2016,3,TB,LARM,32,37,-5,0,0,-4,4,42,69
2016,3,CAR,MIN,10,22,-12,0,0,-7.5,7.5,43,32
2016,3,KC,NYJ,24,3,21,1,1,-3,3,43.5,27
2016,3,TEN,OAK,10,17,-7,0,0,0,0,47,27
2016,3,PHI,PIT,34,3,31,1,1,4,-4,46,37
2016,3,IND,SD,26,22,4,1,1,-2.5,2.5,50.5,48
2016,3,SEA,SF,37,18,19,1,1,-10,10,40.5,55
2016,3,NYG,WAS,27,29,-2,0,0,-4,4,46.5,56
2016,4,NE,BUF,0,16,-16,0,0,-7.5,7.5,44.5,16
2016,4,ATL,CAR,48,33,15,1,1,3.5,-3.5,50,81
2016,4,WAS,CLE,31,20,11,1,1,-10,10,45.5,51
2016,4,SF,DAL,17,24,-7,0,0,3,-3,46,41
2016,4,TB,DEN,7,27,-20,0,0,3,-3,44.5,34
2016,4,CHI,DET,17,14,3,1,1,3,-3,46,31
2016,4,JAC,IND,30,27,3,1,1,2,-2,49.5,57
2016,4,PIT,KC,43,14,29,1,1,-5,5,47.5,57
2016,4,ARI,LARM,13,17,-4,0,0,-8.5,8.5,43.5,30
2016,4,CIN,MIA,22,7,15,1,1,-7,7,44.5,29
2016,4,SD,NO,34,35,-1,0,0,-4.5,4.5,53.5,69
2016,4,MIN,NYG,24,10,14,1,1,-3.5,3.5,43.5,34
2016,4,BAL,OAK,27,28,-1,0,0,-3.5,3.5,46.5,55
2016,4,NYJ,SEA,17,27,-10,0,0,2.5,-2.5,41.5,44
2016,4,HOU,TEN,27,20,7,1,1,-6.5,6.5,40.5,47
2016,5,SF,ARI,21,33,-12,0,0,2.5,-2.5,42.5,54
2016,5,DEN,ATL,16,23,-7,0,0,-4.5,4.5,47,39
2016,5,LARM,BUF,19,30,-11,0,0,-2.5,2.5,40,49
2016,5,IND,CHI,29,23,6,1,1,-4.5,4.5,47.5,52
2016,5,DAL,CIN,28,14,14,1,1,0,0,45,42
2016,5,MIN,HOU,31,13,18,1,1,-6.5,6.5,40,44
2016,5,CLE,NE,13,33,-20,0,0,10.5,-10.5,46.5,46
2016,5,GB,NYG,23,16,7,1,0,-7.5,7.5,48,39
2016,5,PIT,NYJ,31,13,18,1,1,-7.5,7.5,48.5,44
2016,5,DET,PHI,24,23,1,1,1,2.5,-2.5,46,47
2016,5,OAK,SD,34,31,3,1,0,-4,4,51.5,65
2016,5,CAR,TB,14,17,-3,0,0,-4.5,4.5,45.5,31
2016,5,MIA,TEN,17,30,-13,0,0,-3.5,3.5,43.5,47
2016,5,BAL,WAS,10,16,-6,0,0,-3.5,3.5,46.5,26
2016,6,SEA,ATL,26,24,2,1,0,-6,6,45.5,50
2016,6,NYG,BAL,27,23,4,1,1,-3,3,43.5,50
2016,6,NO,CAR,41,38,3,1,1,3,-3,53,79
2016,6,NE,CIN,35,17,18,1,1,-8,8,47,52
2016,6,TEN,CLE,28,26,2,1,0,-7,7,44,54
2016,6,GB,DAL,16,30,-14,0,0,-4,4,46.5,46
2016,6,SD,DEN,21,13,8,1,1,2.5,-2.5,45.5,34
2016,6,HOU,IND,26,23,3,1,0,-3.5,3.5,46,49
2016,6,CHI,JAC,16,17,-1,0,0,-2,2,47,33
2016,6,OAK,KC,10,26,-16,0,0,-2,2,46.5,36
2016,6,DET,LARM,31,28,3,1,0,-3,3,44,59
2016,6,ARI,NYJ,28,3,25,1,1,-7.5,7.5,46,31
2016,6,WAS,PHI,27,20,7,1,1,2,-2,44.5,47
2016,6,MIA,PIT,30,15,15,1,1,7.5,-7.5,48,45
2016,6,BUF,SF,45,16,29,1,1,-7.5,7.5,44,61
2016,7,NYJ,BAL,24,16,8,1,1,-1,1,41.5,40
2016,7,MIA,BUF,28,25,3,1,1,2.5,-2.5,44,53
2016,7,GB,CHI,26,10,16,1,1,-9,9,47,36
2016,7,CIN,CLE,31,17,14,1,1,-10,10,45.5,48
2016,7,DEN,HOU,27,9,18,1,1,-7.5,7.5,40.5,36
2016,7,TEN,IND,26,34,-8,0,0,-2.5,2.5,48.5,60
2016,7,PHI,MIN,21,10,11,1,1,2,-2,40,31
2016,7,PIT,NE,16,27,-11,0,0,7.5,-7.5,45.5,43
2016,7,KC,NO,27,21,6,1,0,-7,7,50,48
2016,7,LARM,NYG,10,17,-7,0,0,2.5,-2.5,43.5,27
2016,7,JAC,OAK,16,33,-17,0,0,-1.5,1.5,48.5,49
2016,7,ATL,SD,30,33,-3,0,0,-6.5,6.5,50.5,63
2016,7,ARI,SEA,6,6,0,0,0,-2,2,43.5,12
2016,7,SF,TB,17,34,-17,0,0,2,-2,47,51
2016,7,DET,WAS,20,17,3,1,1,-1,1,48.5,37
2016,8,CAR,ARI,30,20,10,1,1,-2.5,2.5,48,50
2016,8,HOU,DET,20,13,7,1,1,-2.5,2.5,45,33
2016,8,ATL,GB,33,32,1,1,0,-2.5,2.5,52.5,65
2016,8,TEN,JAC,36,22,14,1,1,-3.5,3.5,46,58
