,Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,Predicted,Error,HomeLine
877,2018,2,CHI,SEA,24,17,7,3.7131183489160327,-3.2868816510839673,-3.5
878,2018,4,ARI,SEA,17,20,-3,5.2351168833500905,8.235116883350091,3.0
883,2018,15,SF,SEA,26,23,3,6.031082824022055,3.0310828240220546,6.5
884,2019,2,PIT,SEA,26,28,-2,-7.575995022702386,-5.575995022702386,-3.5
892,2015,16,DET,SF,32,17,15,6.778627132689043,-8.221372867310958,-8.0
895,2016,6,BUF,SF,45,16,29,17.429612845512313,-11.570387154487687,-7.5
906,2017,13,CHI,SF,14,15,-1,-4.111617241718417,-3.1116172417184167,-4.0
907,2017,14,HOU,SF,16,26,-10,-8.923334256587072,1.0766657434129279,-1.5
912,2018,6,GB,SF,33,30,3,3.298216532574304,0.2982165325743038,-9.5
914,2018,12,TB,SF,27,9,18,20.180085154664127,2.180085154664127,-3.5
921,2015,7,WAS,TB,31,30,1,-6.626481348736149,-7.626481348736149,-3.5
935,2017,6,ARI,TB,38,33,5,12.067663772104911,7.067663772104911,2.0
939,2017,12,ATL,TB,34,20,14,11.758388499807012,-2.241611500192988,-10.0
940,2017,13,GB,TB,26,20,6,-0.7090396139317185,-6.7090396139317185,1.5
945,2018,8,CIN,TB,37,34,3,16.01452976255606,13.014529762556059,-6.0
947,2018,11,NYG,TB,38,35,3,6.736828866331503,3.7368288663315026,-1.0
948,2018,15,BAL,TB,20,12,8,6.430620171670038,-1.5693798283299616,-8.0
949,2018,16,DAL,TB,27,20,7,1.4306122910008314,-5.569387708999169,-7.0
952,2019,5,NO,TB,31,24,7,12.82437152804848,5.824371528048481,-5.5
953,2015,1,TB,TEN,14,42,-28,-39.7956135033868,-11.795613503386797,-3.0
960,2016,2,DET,TEN,15,16,-1,2.378143816256623,3.378143816256623,-5.5
969,2017,7,CLE,TEN,9,12,-3,-2.2572432175115216,0.7427567824884784,5.5
973,2017,15,SF,TEN,25,23,2,0.8171168199049883,-1.1828831800950117,-2.0
975,2018,5,BUF,TEN,13,12,1,-2.6168321020479723,-3.6168321020479723,3.0
979,2018,12,HOU,TEN,34,17,17,8.642507605231064,-8.357492394768936,-6.0
983,2015,3,NYG,WAS,32,21,11,14.581729194778728,3.5817291947787275,-4.0
989,2015,16,PHI,WAS,24,38,-14,-11.807640047208256,2.192359952791744,-3.5
994,2016,8,CIN,WAS,27,27,0,-2.4462388433716957,-2.4462388433716957,-2.5
997,2016,14,PHI,WAS,22,27,-5,-15.014117966510483,-10.014117966510483,1.0
999,2017,2,LARM,WAS,20,27,-7,0.9720773513804244,7.972077351380424,-3.0
1000,2017,4,KC,WAS,29,20,9,2.809467173335852,-6.190532826664148,-7.0
1004,2017,13,DAL,WAS,38,14,24,19.74489115316994,-4.255108846830058,-1.5
1014,2019,1,PHI,WAS,32,27,5,0.8327455238266794,-4.167254476173321,-8.5
